track_name,date_listened,artist_name,ms_played
You Make Loving Fun - 2004 Remaster,2022-10-13T16:11:00Z,Fleetwood Mac,213693
Roll Bus Roll,2022-10-13T16:16:00Z,Jeffrey Lewis,292333
Run Boy Run,2022-10-13T16:48:00Z,Woodkid,11786
Un Poco Loco,2022-09-08T12:47:00Z,Anthony Gonzalez,112205
"The Carnival Of The Animals, R. 125: Xiii. The Swan (Arr. For Cello And Piano)",2022-10-13T20:31:00Z,Camille Saint-Saëns,174266
"Kinderszenen, Op. 15: 7. Träumerei",2022-10-13T20:35:00Z,Robert Schumann,29982
Nocturne No. 2 In C Minor,2022-10-13T20:35:00Z,John Field,223066
Opening - Bombing Mission,2022-10-13T20:38:00Z,Nobuo Uematsu,155698
Red Xiii's Theme,2022-10-13T20:38:00Z,Nobuo Uematsu,412
The Nightmare Begins,2022-10-13T20:38:00Z,Nobuo Uematsu,3767
In Search Of The Man In Black,2022-10-13T20:38:00Z,Nobuo Uematsu,711
Under The Rotting Pizza,2022-10-13T20:38:00Z,Nobuo Uematsu,1254
Jenova Complete,2022-10-13T20:38:00Z,Nobuo Uematsu,898
Fanfare,2022-10-13T20:38:00Z,Nobuo Uematsu,3064
Tru-Galú,2022-09-08T12:48:00Z,Chris Hazelton's Boogaloo 7,47867
Cid's Theme,2022-10-13T20:41:00Z,Nobuo Uematsu,191066
Mining Town,2022-10-13T20:43:00Z,Nobuo Uematsu,1454
Honeybee Inn,2022-10-13T20:43:00Z,Nobuo Uematsu,105602
Wutai,2022-10-13T20:47:00Z,Nobuo Uematsu,1490
Fight On !,2022-10-13T20:47:00Z,Nobuo Uematsu,212973
Cait Sith's Theme,2022-10-13T20:47:00Z,Nobuo Uematsu,1102
One-Winged Angel,2022-10-13T20:47:00Z,Nobuo Uematsu,3827
Don Of The Slums,2022-10-13T20:47:00Z,Nobuo Uematsu,865
Win/Place/Show Chocobo!,2022-10-13T20:47:00Z,Nobuo Uematsu,1398
Continue,2022-10-13T20:47:00Z,Nobuo Uematsu,1140
Dotted Line,2022-09-04T22:00:00Z,[spunge],207853
Animal Crossing: New Horizons Main Theme,2022-09-08T12:48:00Z,VGR,5159
On Our Way,2022-10-13T20:51:00Z,Nobuo Uematsu,224160
Reunion,2022-10-13T21:01:00Z,Nobuo Uematsu,10700
Magic Carpet Ride,2022-10-14T08:48:00Z,Steppenwolf,3580
Magic Carpet Ride,2022-10-14T10:39:00Z,Steppenwolf,246851
Are 'Friends' Electric?,2022-10-14T15:47:00Z,Gary Numan,325200
Lido Shuffle,2022-10-14T15:50:00Z,Boz Scaggs,221613
Shoebox,2022-10-14T16:05:00Z,Barenaked Ladies,173842
World's Smallest Violin,2022-10-17T19:28:00Z,AJR,180746
Record Player (With Ajr),2022-10-17T19:29:00Z,Daisy the Great,13547
Bang!,2022-10-17T19:41:00Z,AJR,150160
Universally Speaking,2022-09-08T12:48:00Z,Red Hot Chili Peppers,1079
World's Smallest Violin,2022-10-17T21:36:00Z,AJR,180746
Growing Old On Bleecker Street,2022-10-17T21:39:00Z,AJR,203093
Pitchfork Kids,2022-10-17T21:40:00Z,AJR,43908
The Good Part,2022-10-17T21:42:00Z,AJR,133043
Fate Of The Stars,2022-10-17T21:54:00Z,Tally Hall,410680
A Lady,2022-10-17T21:55:00Z,Tally Hall,64973
Never Meant To Know,2022-10-17T22:49:00Z,Tally Hall,179869
Hymn For A Scarecrow,2022-10-17T23:10:00Z,Tally Hall,289584
Cruel,2022-10-19T15:22:00Z,The Preatures,177889
Wrong Enemy !?,2022-10-19T15:24:00Z,Toby Fox,16513
The Number One Song In Heaven,2022-09-08T12:48:00Z,Sparks,964
Spider Dance,2022-10-19T15:24:00Z,Toby Fox,106434
World's Smallest Violin,2022-10-19T15:27:00Z,AJR,180746
Magic Carpet Ride,2022-10-19T15:30:00Z,Steppenwolf,127218
Complex,2022-10-19T15:33:00Z,Gary Numan,192400
Cars,2022-10-19T15:37:00Z,Gary Numan,238906
Are 'Friends' Electric?,2022-10-19T15:42:00Z,Gary Numan,52795
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-10-19T15:49:00Z,David Bowie,220706
Hell Of A Ride (Studio),2022-10-19T15:59:00Z,Bo Burnham,263998
The Life Of Riley,2022-10-19T16:00:00Z,The Lightning Seeds,62015
Sons & Daughters,2022-10-19T16:06:00Z,The Decemberists,313640
